ExperimentIndex;SampleIndex;ToolIndex;MillingToolType;ADOC [mm];RDOC [mm];HardnessMean [HRC];CycleToFailure;CycleToFailureNormalized;ToolHolderLength [mm];ToolRotation [rpm];FeedRate [mm/min];ToolDiameter [mm]
P002_F01_C1;2;2;1;5;8;36,67;49;1;80;3200;640;10
P002_F01_C2;2;2;1;5;8;36,67;48;0,979591837;80;3200;640;10
P002_F01_C3;2;2;1;5;8;36,67;47;0,959183673;80;3200;640;10
P002_F01_C4;2;2;1;5;8;36,67;46;0,93877551;80;3200;640;10
P002_F02_C1;2;2;1;5;8;36,67;45;0,918367347;80;3200;640;10
P002_F02_C2;2;2;1;5;8;36,67;44;0,897959184;80;3200;640;10
P002_F02_C3;2;2;1;5;8;36,67;43;0,87755102;80;3200;640;10
P002_F02_C4;2;2;1;5;8;36,67;42;0,857142857;80;3200;640;10
P002_F03_C1;2;2;1;5;8;36,67;41;0,836734694;80;3200;640;10
P002_F03_C2;2;2;1;5;8;36,67;40;0,816326531;80;3200;640;10
P002_F03_C3;2;2;1;5;8;36,67;39;0,795918367;80;3200;640;10
P002_F03_C4;2;2;1;5;8;36,67;38;0,775510204;80;3200;640;10
P002_F04_C1;2;2;1;5;8;36,67;37;0,755102041;80;3200;640;10
P002_F04_C2;2;2;1;5;8;36,67;36;0,734693878;80;3200;640;10
P002_F04_C3;2;2;1;5;8;36,67;35;0,714285714;80;3200;640;10
P002_F04_C4;2;2;1;5;8;36,67;34;0,693877551;80;3200;640;10
P002_F05_C1;2;2;1;5;8;36,67;33;0,673469388;80;3200;640;10
P002_F05_C2;2;2;1;5;8;36,67;32;0,653061224;80;3200;640;10
P002_F05_C3;2;2;1;5;8;36,67;31;0,632653061;80;3200;640;10
P002_F06_C1;2;2;1;5;8;36,67;29;0,591836735;80;3200;640;10
P002_F06_C2;2;2;1;5;8;36,67;28;0,571428571;80;3200;640;10
P002_F06_C3;2;2;1;5;8;36,67;27;0,551020408;80;3200;640;10
P002_F06_C4;2;2;1;5;8;36,67;26;0,530612245;80;3200;640;10
P002_F07_C1;2;2;1;5;8;36,67;25;0,510204082;80;3200;640;10
P002_F07_C2;2;2;1;5;8;36,67;24;0,489795918;80;3200;640;10
P002_F07_C3;2;2;1;5;8;36,67;23;0,469387755;80;3200;640;10
P002_F07_C4;2;2;1;5;8;36,67;22;0,448979592;80;3200;640;10
P002_F08_C1;2;2;1;5;8;36,67;21;0,428571429;80;3200;640;10
P002_F08_C2;2;2;1;5;8;36,67;20;0,408163265;80;3200;640;10
P002_F08_C3;2;2;1;5;8;36,67;19;0,387755102;80;3200;640;10
P002_F09_C1;2;2;1;5;8;36,67;16;0,326530612;80;3200;640;10
P002_F09_C2;2;2;1;5;8;36,67;16;0,326530612;80;3200;640;10
P002_F09_C3;2;2;1;5;8;36,67;15;0,306122449;80;3200;640;10
P002_F09_C4;2;2;1;5;8;36,67;14;0,285714286;80;3200;640;10
